,1979,1980,1981,1982,1983,1984,1985,1986
jan,,"6,56","6,21","6,71","9,14","9,39","11,84","15,01"
fev,,"4,15","6,05","6,58","8,04","9,74","10,95","12,46"
mar,,"5,12","5,35","5,24","7,22","9,83","9,94","3,18"
abr,"3,45","4,85","6,54","5,65","6,57","9,52","8,58","0,43"
mai,"1,76","5,53","5,51","6,66","6,71","8,71","7,20","1,08"
jun,"3,00","5,52","5,07","7,14","10,83","9,96","8,33","0,97"
jul,"5,36","5,51","6,20","6,39","11,43","9,11","10,08","0,91"
ago,"5,79","5,15","6,12","5,57","9,85","8,57","11,61","1,43"
set,"6,61","4,45","5,28","4,30","11,27","11,10","10,09","1,19"
out,"5,06","9,65","4,62","3,91","10,10","10,49","10,25","1,43"
nov,"6,10","8,03","5,23","5,26","7,37","10,33","14,18","3,29"
dez,"4,51","6,80","5,69","8,19","8,34","11,62","15,75","7,27"
